,Gia,Nha_ve_sinh,So_phong,Huong,Chieu_dai,Rong,Giay_to,Dien_tich,Dien_tich_su_dung,Hem_rong,Duong_mat_tien,Duong,Phuong,Quan,So_lau,Tang_thuong,Gac_lung,Tang_ham,Gan_cho,Gan_truong,Gan_congvien,Gan_mat_tien,Di_chuyen,Thoang,an_ninh,2_duong_chinh,2_hem,binned
3193,18000,2,2,Đông,13.0,9.0,Sổ hồng,105.1,94.4,2.0,0,lạc long quân,Phường 3,Quận 11,1,0,0,0,1,0,1,0,1,0,0,0,0,"(10000.0, 20000.0]"
3195,9200,2,3,T.Bắc,23.52,4.94,Sổ hồng,116.2,95.0,2.66,0,võ duy ninh,Phường 22,Quận Bình Thạnh,1,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
3196,3800,3,2,Nam,10.2,5.0,Sổ hồng,52.0,123.8,7.0,0,ql1,Phường An Phú Đông,Quận 12,1,1,0,0,1,0,1,0,1,0,0,0,0,"(900.0, 4000.0]"
3198,13500,4,3,Bắc,27.0,4.85,Sổ hồng,76.2,228.6,12.0,1,tân kỳ tân quý,Phường Tân Sơn Nhì,Quận Tân Phú,3,1,0,0,1,1,0,0,1,1,1,0,0,"(10000.0, 20000.0]"
3199,6200,5,4,Bắc,7.8,3.0,Sổ hồng,23.3,98.3,5.0,0,phó cơ điều,Phường 6,Quận 11,2,1,1,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
3200,5800,3,2,Đ.Nam,9.67,4.4,Sổ hồng,34.6,151.6,6.0,0,đoàn văn bơ,Phường 9,Quận 4,2,1,0,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
3201,3100,2,2,Đ.Bắc,20.05,2.01,Sổ đỏ,35.6,166.8,3.9,0,nguyễn an ninh,Phường 14,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
3202,7500,2,3,Đ.Bắc,14.8,2.84,Sổ hồng,41.0,81.3,2.0,0,đinh tiên hoàng,Phường 1,Quận Bình Thạnh,1,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
3204,7000,3,4,T.Bắc,8.42,5.06,Sổ hồng,41.7,89.8,3.0,0,bùi đình túy,Phường 24,Quận Bình Thạnh,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3205,4700,2,2,T.Nam,13.54,4.52,Sổ hồng,51.7,90.8,3.0,0,tôn thất thuyết,Phường 16,Quận 4,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
