,Gia,Nha_ve_sinh,So_phong,Huong,Chieu_dai,Rong,Giay_to,Dien_tich,Dien_tich_su_dung,Hem_rong,Duong_mat_tien,Duong,Phuong,Quan,So_lau,Tang_thuong,Gac_lung,Tang_ham,Gan_cho,Gan_truong,Gan_congvien,Gan_mat_tien,Di_chuyen,Thoang,an_ninh,2_duong_chinh,2_hem,binned
0,3700,4,3,Đ.Bắc,20.71,5.0,Sổ hồng,104.5,134.7,5.0,0,ấp thới tây 2,Xã Tân Hiệp,Huyện Hóc Môn,1,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
1,3800,2,2,Đ.Bắc,14.35,5.0,Sổ hồng,71.8,137.6,5.0,0,huỳnh tấn phát,Xã Phú Xuân,Huyện Nhà Bè,1,0,0,0,1,1,1,0,1,1,1,0,0,"(900.0, 4000.0]"
2,6500,5,5,T.Nam,10.0,5.2,Sổ hồng,52.1,70.3,5.0,1,lò siêu,Phường 16,Quận 11,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3,54000,5,4,Đ.Bắc,30.0,12.0,Sổ đỏ,366.2,341.8,12.0,1,an phú,Phường An Phú,Quận 2,2,0,0,0,1,1,1,1,1,1,1,1,1,"(50000.0, 101000.0]"
4,3800,2,2,Bắc,7.81,2.95,Sổ hồng,24.0,48.0,1.5,0,trần quang khải,Phường Tân Định,Quận 1,1,0,0,0,0,0,1,0,1,0,0,0,0,"(900.0, 4000.0]"
5,9800,3,4,Đ.Nam,24.5,5.0,Sổ đỏ,122.5,217.5,6.4,0,huỳnh tấn phát,Phường Tân Phú,Quận 7,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
6,6000,15,15,Đ.Bắc,17.88,4.93,Sổ hồng,88.0,176.3,3.0,0,số 10,Phường Linh Trung,Quận Thủ Đức,2,0,0,0,1,1,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
8,10800,2,3,Đ.Bắc,12.18,3.99,Sổ hồng,47.0,106.6,3.0,0,nguyễn đình chiểu,Phường 5,Quận 3,1,0,0,0,1,1,0,0,1,1,0,0,0,"(10000.0, 20000.0]"
9,11800,2,2,T.Nam,19.0,4.0,Sổ hồng,74.0,157.8,4.0,0,võ oanh,Phường 25,Quận Bình Thạnh,1,0,1,0,1,1,0,1,0,0,0,0,0,"(10000.0, 20000.0]"
10,7700,3,4,Đông,14.3,7.0,Sổ hồng,100.8,145.9,2.5,0,bùi văn ba,Phường Tân Thuận Đông,Quận 7,2,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
11,3900,2,2,Đ.Nam,10.5,4.15,Sổ hồng,43.6,87.1,3.0,0,phạm văn bạch,Phường 15,Quận Tân Bình,1,0,0,0,1,1,1,0,1,0,0,0,0,"(900.0, 4000.0]"
12,6200,4,3,T.Bắc,10.35,3.7,Sổ hồng,33.2,124.5,2.55,0,bùi văn thêm,Phường 9,Quận Phú Nhuận,2,1,1,0,1,1,1,0,1,1,1,0,0,"(4000.0, 10000.0]"
13,4600,2,3,Nam,8.05,3.5,Sổ đỏ,27.0,46.2,3.11,0,xô viết nghệ tĩnh,Phường 25,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
14,7900,3,4,Đ.Bắc,16.0,5.5,Sổ hồng,88.0,270.0,12.0,1,số 35 - cl,Phường Cát Lái,Quận 2,2,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
15,3800,4,3,Bắc,8.0,5.0,Sổ hồng,43.7,90.8,3.0,0,lưu trọng lư,Phường Tân Thuận Đông,Quận 7,1,0,1,0,1,1,0,1,0,0,1,0,0,"(900.0, 4000.0]"
16,9200,5,4,Đông,25.35,4.0,Sổ hồng,101.9,275.0,16.0,1,an dương vương,Phường 16,Quận 8,3,1,0,0,1,1,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
17,3400,3,4,T.Nam,7.8,5.09,Sổ hồng,39.8,66.6,6.0,0,lã xuân oai,Phường Long Trường,Quận 9,2,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
18,8000,5,6,Đ.Bắc,8.0,7.0,Sổ hồng,48.4,193.6,3.0,0,nguyễn thượng hiền,Phường 5,Quận Bình Thạnh,2,1,1,0,1,1,1,1,1,0,0,0,0,"(4000.0, 10000.0]"
19,15500,4,4,Nam,17.0,4.0,Sổ hồng,60.0,156.0,5.0,0,đào duy anh,Phường 9,Quận Phú Nhuận,2,1,1,0,1,1,0,1,1,1,0,0,0,"(10000.0, 20000.0]"
20,3000,2,2,T.Bắc,5.74,4.4,Sổ hồng,25.0,50.0,2.5,0,xô viết nghệ tĩnh,Phường 17,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
21,39500,2,2,T.Bắc,21.4,4.5,Sổ hồng,114.5,243.2,30.0,1,ba tháng hai,Phường 10,Quận 10,1,0,1,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
22,11000,2,2,Nam,16.9,4.0,Sổ hồng,67.6,102.0,10.0,1,nguyễn đình chi,Phường 9,Quận 6,1,1,0,0,1,1,1,0,1,1,0,0,0,"(10000.0, 20000.0]"
23,12800,3,4,Đ.Nam,14.95,3.77,Sổ hồng,55.5,143.1,2.0,0,rạch bùng binh,Phường 10,Quận 3,2,0,0,0,1,1,0,0,1,0,1,0,0,"(10000.0, 20000.0]"
24,2500,2,2,Bắc,4.44,4.2,Sổ hồng,18.7,37.4,2.0,0,nguyễn duy,Phường 14,Quận 8,1,0,0,0,1,1,1,0,1,0,0,0,0,"(900.0, 4000.0]"
25,4100,3,2,Bắc,14.0,4.0,Sổ hồng,56.0,114.2,8.0,0,lê văn quới,Phường Bình Trị Đông,Quận Bình Tân,2,1,0,0,1,0,1,0,0,0,0,0,0,"(4000.0, 10000.0]"
26,17000,3,8,T.Nam,18.18,3.5,Sổ hồng,91.7,105.0,4.5,0,điện biên phủ,Phường 17,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
27,6000,5,4,Đ.Bắc,14.57,5.6,Sổ hồng,80.6,265.9,4.0,0,đào tông nguyên,Xã Phú Xuân,Huyện Nhà Bè,2,1,0,0,1,1,0,1,1,0,0,0,0,"(4000.0, 10000.0]"
28,4800,3,3,Đông,13.0,3.42,Sổ hồng,49.1,127.4,6.0,0,hoàng ngân,Phường 16,Quận 8,2,0,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
29,27500,11,11,Tây,32.2,4.1,Sổ hồng,132.2,245.2,15.0,1,hoàng hoa thám,Phường 13,Quận Tân Bình,2,1,0,0,1,1,0,1,0,1,0,0,0,"(20000.0, 50000.0]"
30,12500,1,3,Đ.Nam,17.0,4.0,Sổ hồng,65.7,139.7,4.0,0,lê văn sỹ,Phường 13,Quận Phú Nhuận,1,0,0,0,1,1,1,1,1,1,0,0,0,"(10000.0, 20000.0]"
31,48000,12,12,Đ.Nam,20.8,4.0,Sổ hồng,83.2,617.4,15.0,1,tô hiến thành,Phường 15,Quận 10,6,1,1,0,1,1,0,1,1,1,1,0,0,"(20000.0, 50000.0]"
32,3000,2,2,Đông,13.37,4.5,Sổ hồng,41.0,82.0,4.0,0,thới an 16,Phường Thới An,Quận 12,1,0,0,0,1,1,1,0,1,0,0,0,0,"(900.0, 4000.0]"
33,4800,3,2,Đ.Nam,12.47,3.17,Sổ hồng,34.7,103.1,4.5,0,bùi hữu nghĩa,Phường 2,Quận Bình Thạnh,2,1,0,0,1,1,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
35,4100,2,4,T.Nam,11.43,3.53,Sổ hồng,36.8,91.6,3.3,0,nguyễn văn khối,Phường 11,Quận Gò Vấp,2,0,0,0,1,1,0,1,0,1,0,0,0,"(4000.0, 10000.0]"
36,3800,2,1,T.Nam,8.55,3.16,Sổ hồng,34.0,53.0,3.0,0,tùng thiện vương,Phường 11,Quận 8,1,0,1,0,1,1,0,1,1,0,0,0,0,"(900.0, 4000.0]"
37,7000,9,9,Bắc,20.0,3.0,Sổ hồng,60.2,102.5,2.0,0,đất thánh,Phường 6,Quận Tân Bình,2,0,1,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
38,7100,4,4,Đông,9.24,4.0,Sổ hồng,36.8,130.4,2.0,0,lê văn sỹ,Phường 13,Quận 3,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
39,9800,9,8,Nam,18.98,3.37,Sổ hồng,75.1,72.2,2.0,0,mễ cốc,Phường 15,Quận 8,1,0,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
40,9500,6,6,T.Bắc,18.0,3.85,Sổ hồng,69.3,205.0,8.93,1,cư xá phú lâm,Phường 10,Quận 6,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
41,7700,3,4,T.Nam,14.3,6.0,Sổ hồng,87.0,164.8,10.0,0,số 8,Phường Tăng Nhơn Phú B,Quận 9,2,0,0,0,1,1,0,0,0,0,0,0,0,"(4000.0, 10000.0]"
42,3200,2,2,Đ.Bắc,11.0,3.3,Sổ hồng,36.2,67.2,5.0,0,đông hưng thuận 06,Phường Tân Hưng Thuận,Quận 12,1,0,0,0,1,1,1,0,1,0,0,0,0,"(900.0, 4000.0]"
43,3400,2,2,T.Nam,8.79,3.18,Sổ hồng,21.7,43.4,2.8,0,nguyễn văn công,Phường 3,Quận Gò Vấp,1,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
45,3600,2,2,Nam,8.0,3.3,Sổ hồng,26.4,68.0,2.25,0,đặng văn bi,Phường Bình Thọ,Quận Thủ Đức,1,0,0,0,1,1,0,1,0,0,0,0,0,"(900.0, 4000.0]"
46,4800,3,4,Đ.Bắc,8.56,2.93,Sổ hồng,28.2,51.7,2.5,0,phan đình phùng,Phường 1,Quận Phú Nhuận,2,0,0,0,1,1,0,1,0,1,1,0,0,"(4000.0, 10000.0]"
47,40000,4,8,T.Bắc,13.45,3.65,Sổ hồng,49.1,183.4,30.0,1,nguyễn trãi,Phường 7,Quận 5,3,0,0,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
48,13300,12,12,Không xác định,25.49,4.15,Sổ hồng,115.1,264.4,12.0,1,sơn kỳ,Phường Sơn Kỳ,Quận Tân Phú,2,1,0,0,1,1,1,0,1,0,0,0,0,"(10000.0, 20000.0]"
49,9000,3,3,Tây,4.2,5.9,Sổ hồng,25.4,127.0,6.5,0,cách mạng tháng tám,Phường 4,Quận Tân Bình,3,1,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
50,5300,2,1,Bắc,18.7,5.02,Sổ hồng,99.2,121.4,4.0,0,hồ học lãm,Phường An Lạc,Quận Bình Tân,1,0,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
52,8000,2,3,T.Bắc,17.64,3.97,Sổ hồng,63.9,133.1,5.0,1,công trường hoà bình,Phường 19,Quận Bình Thạnh,1,0,0,0,1,1,0,0,1,1,0,0,0,"(4000.0, 10000.0]"
54,2300,2,2,T.Bắc,6.08,3.71,Sổ hồng,20.4,30.4,1.89,0,âu dương lân,Phường 3,Quận 8,1,0,1,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
55,8700,13,13,Đ.Bắc,11.7,7.55,Sổ hồng,93.1,130.0,3.0,0,kênh tân hóa,Phường Hòa Thạnh,Quận Tân Phú,2,0,0,0,1,1,1,0,0,0,0,0,0,"(4000.0, 10000.0]"
56,7500,3,3,T.Nam,12.0,3.15,Sổ hồng,43.0,159.2,3.0,0,cách mạng tháng tám,Phường 11,Quận 3,2,0,1,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
57,4700,3,3,Đ.Bắc,15.08,4.08,Sổ hồng,61.0,198.5,7.0,0,phạm thế hiển,Phường 7,Quận 8,2,1,0,0,1,1,0,0,0,0,1,0,0,"(4000.0, 10000.0]"
58,4400,6,4,Đ.Bắc,8.58,5.2,Sổ hồng,44.7,144.2,2.7,0,lê đức thọ,Phường 13,Quận Gò Vấp,2,1,0,0,1,1,0,0,0,0,0,0,0,"(4000.0, 10000.0]"
59,4300,2,2,Bắc,3.3,4.8,Sổ hồng,13.8,41.3,4.5,0,trần phú,Phường 7,Quận 5,2,0,0,0,1,1,1,1,1,0,1,0,0,"(4000.0, 10000.0]"
60,7500,3,4,Đ.Nam,20.0,3.9,Sổ hồng,77.5,110.0,4.0,0,trần xuân soạn,Phường Tân Hưng,Quận 7,1,1,0,0,1,1,0,1,0,1,0,0,0,"(4000.0, 10000.0]"
61,3800,2,5,Nam,17.87,7.12,Sổ hồng,122.4,141.5,2.6,0,quốc lộ 1a,Xã Bình Chánh,Huyện Bình Chánh,1,0,0,0,1,1,0,0,1,0,0,0,0,"(900.0, 4000.0]"
62,4900,2,2,Đ.Bắc,9.78,3.08,Sổ hồng,23.5,65.4,3.0,0,võ văn kiệt,Phường Cầu Kho,Quận 1,1,0,0,0,1,1,1,0,1,0,1,0,0,"(4000.0, 10000.0]"
63,12800,3,5,Đông,16.5,3.9,Sổ hồng,64.7,191.6,4.0,0,trần hưng đạo,Phường 6,Quận 5,2,1,1,0,0,0,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
64,23000,2,2,T.Bắc,17.2,10.6,Sổ hồng,159.2,259.3,15.0,1,nguyễn trung trực,Phường 5,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
65,8200,3,5,Bắc,13.8,3.8,Sổ hồng,51.3,67.6,1.5,0,an bình,Phường 6,Quận 5,2,0,1,0,1,1,0,1,1,1,0,0,1,"(4000.0, 10000.0]"
66,7000,5,4,Đ.Bắc,17.9,4.43,Sổ hồng,68.2,181.5,5.0,0,phạm văn chiêu,Phường 14,Quận Gò Vấp,2,1,0,0,0,0,0,0,1,0,0,0,0,"(4000.0, 10000.0]"
67,3200,2,2,Đông,12.1,4.0,Sổ hồng,48.0,96.0,5.5,0,số 4,Phường Bình Hưng Hòa B,Quận Bình Tân,1,0,0,0,1,1,0,0,0,0,0,0,0,"(900.0, 4000.0]"
68,18000,4,5,Đ.Bắc,20.85,4.5,Sổ hồng,92.8,262.8,15.0,1,mai xuân thưởng,Phường 4,Quận 6,2,1,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
69,7500,6,6,T.Bắc,15.3,3.92,Sổ hồng,58.4,210.8,3.0,0,dương bá trạc,Phường 1,Quận 8,2,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
70,7200,1,2,T.Bắc,16.0,3.5,Giấy chứng nhận phường quận,47.9,98.7,2.0,0,trần nhân tôn,Phường 2,Quận 10,1,0,0,0,1,1,1,0,1,1,1,0,0,"(4000.0, 10000.0]"
72,6800,6,8,Đ.Bắc,17.0,12.0,Sổ đỏ,200.0,281.9,3.0,0,ụ ghe,Phường Tam Phú,Quận Thủ Đức,1,0,0,0,1,1,0,0,0,0,1,0,0,"(4000.0, 10000.0]"
73,7800,3,4,Đ.Nam,12.4,4.2,Sổ hồng,62.3,167.6,3.0,0,phó cơ điều,Phường 12,Quận 5,2,0,0,0,1,1,0,0,1,1,1,0,0,"(4000.0, 10000.0]"
74,6900,2,3,Đ.Nam,18.92,3.6,Sổ hồng,64.8,80.6,4.0,0,bến bình đông,Phường 14,Quận 8,1,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
76,5800,3,5,T.Bắc,14.72,4.04,Sổ hồng,58.9,135.2,3.0,0,âu dương lân,Phường 3,Quận 8,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
77,9500,4,4,T.Bắc,13.7,2.9,Sổ hồng,35.6,89.3,4.0,0,phạm ngọc thạch,Phường 6,Quận 3,3,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
78,9800,4,4,Đ.Nam,14.0,3.22,Sổ hồng,46.0,156.0,5.0,0,ba tháng hai,Phường 12,Quận 10,2,1,1,0,1,0,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
79,5100,5,4,Nam,11.5,5.3,Sổ hồng,60.0,158.7,2.85,0,huỳnh tấn phát,Phường Tân Phú,Quận 7,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
80,7900,4,4,Đông,19.77,4.0,Sổ hồng,77.5,157.0,7.7,0,lê văn thọ,Phường 9,Quận Gò Vấp,2,0,0,0,1,1,0,1,1,0,0,0,0,"(4000.0, 10000.0]"
81,2600,2,2,Nam,4.56,6.39,Sổ hồng,28.5,233.5,3.99,0,phạm thế hiển,Phường 6,Quận 8,1,0,1,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
82,2500,2,1,Tây,9.1,2.65,Sổ hồng,24.4,48.8,3.5,0,số 5,Phường Linh Tây,Quận Thủ Đức,1,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
84,7100,3,4,T.Bắc,12.56,4.0,Sổ hồng,72.1,169.1,6.3,0,ngô chí quốc,Phường Bình Chiểu,Quận Thủ Đức,2,0,0,0,1,1,1,0,1,0,0,1,0,"(4000.0, 10000.0]"
85,8000,3,4,T.Bắc,13.12,3.9,Sổ hồng,53.4,174.1,3.3,0,phú lộc,Phường 6,Quận Tân Bình,3,1,0,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
86,12000,4,3,Tây,20.0,5.0,Sổ hồng,100.0,195.9,3.0,0,số 42,Phường Bình Trưng Đông,Quận 2,2,1,0,0,1,1,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
87,5000,2,2,Bắc,10.7,2.85,Sổ hồng,30.3,58.7,2.5,0,trần phú,Phường 4,Quận 5,1,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
88,5500,1,2,Nam,14.0,4.0,Sổ hồng,55.2,110.4,3.0,0,nguyễn văn quỳ,Phường Phú Thuận,Quận 7,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
89,1500,1,2,Đ.Bắc,2.33,3.65,Sổ hồng,8.6,25.8,1.0,0,đoàn văn bơ,Phường 16,Quận 4,2,0,0,0,1,1,1,1,1,0,1,0,0,"(900.0, 4000.0]"
90,7200,3,3,T.Nam,13.9,3.82,Sổ hồng,49.1,124.1,2.3,0,trần quang diệu,Phường 14,Quận 3,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
91,6200,4,4,T.Bắc,17.0,4.0,Sổ hồng,70.0,100.0,3.0,0,trần quang diệu,Phường 14,Quận 3,1,0,0,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
92,8000,3,4,T.Bắc,17.48,4.17,Sổ hồng,81.3,151.1,4.0,1,13,Phường Bình Trưng Tây,Quận 2,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
94,22000,5,5,T.Nam,29.95,8.03,Sổ hồng,177.3,349.0,8.0,1,linh trung,Phường Linh Trung,Quận Thủ Đức,2,0,0,0,1,1,1,1,1,1,1,1,1,"(20000.0, 50000.0]"
95,2800,2,2,T.Nam,5.95,2.89,Sổ hồng,18.8,39.6,2.0,0,phan bội châu,Phường 14,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
96,5200,2,1,Đ.Bắc,10.8,5.2,Sổ hồng,51.3,101.4,21.5,1,đồng xoài,Phường 13,Quận Tân Bình,1,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
97,12000,1,2,T.Nam,6.3,3.9,Sổ hồng,27.7,55.4,5.0,0,nguyễn thị minh khai,Phường Bến Nghé,Quận 1,1,0,0,0,1,1,0,1,1,1,0,0,0,"(10000.0, 20000.0]"
98,4500,4,3,Nam,8.16,2.5,Sổ hồng,20.5,232.8,12.0,1,đào duy từ,Phường 6,Quận 10,4,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
99,4000,2,3,Bắc,6.86,3.58,Sổ hồng,22.1,60.3,7.0,0,thân nhân trung,Phường 13,Quận Tân Bình,2,0,0,0,1,1,1,1,1,0,1,0,0,"(900.0, 4000.0]"
100,5500,3,4,T.Bắc,12.16,3.6,Sổ hồng,41.6,144.5,18.92,1,tân hóa,Phường 14,Quận 6,2,1,1,0,1,1,1,1,1,1,0,0,0,"(4000.0, 10000.0]"
101,19000,2,6,Bắc,35.04,4.28,Sổ hồng,153.8,341.3,10.0,1,hậu giang,Phường 11,Quận 6,2,0,0,0,1,1,0,1,1,1,1,0,0,"(10000.0, 20000.0]"
102,3500,1,3,Đông,13.7,3.64,Sổ hồng,25.6,51.2,5.0,0,huỳnh tấn phát,Phường Tân Thuận Tây,Quận 7,1,0,0,0,1,1,0,1,0,0,0,0,0,"(900.0, 4000.0]"
104,8500,2,4,T.Bắc,12.98,5.47,Sổ hồng,66.1,115.8,2.0,0,bến vân đồn,Phường 2,Quận 4,1,0,0,0,1,0,1,0,0,0,0,0,0,"(4000.0, 10000.0]"
105,9000,4,5,T.Bắc,16.37,3.6,Sổ hồng,47.0,83.2,2.0,0,số 10,Phường 4,Quận 8,3,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
106,8200,4,6,Tây,11.7,4.25,Sổ hồng,47.1,54.2,1.5,0,phan bội châu,Phường 14,Quận Bình Thạnh,3,1,1,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
107,5400,3,2,T.Bắc,7.0,3.0,Sổ hồng,21.0,72.0,2.65,0,bạch vân,Phường 5,Quận 5,2,1,0,0,1,1,1,0,1,1,0,0,0,"(4000.0, 10000.0]"
108,4800,4,3,T.Nam,10.17,5.41,Sổ hồng,54.7,174.9,4.5,0,ql13,Phường Hiệp Bình Phước,Quận Thủ Đức,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
109,9200,5,5,Đ.Nam,17.7,4.0,Sổ hồng,68.1,179.1,12.0,1,lô k cư xá phú lâm d,Phường 10,Quận 6,2,1,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
110,7000,4,4,T.Nam,16.54,5.0,Sổ hồng,83.6,120.4,5.0,0,quang trung,Phường 11,Quận Gò Vấp,2,0,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
111,3600,2,3,Đ.Nam,10.9,4.7,Sổ hồng,46.9,102.5,3.0,0,chuyên dùng 9,Phường Phú Mỹ,Quận 7,1,0,0,0,0,0,0,1,1,1,1,0,1,"(900.0, 4000.0]"
112,2600,1,2,Đ.Nam,6.95,3.0,Sổ hồng,20.9,41.8,2.41,0,văn thân,Phường 8,Quận 6,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
113,8000,2,2,Đ.Nam,24.78,4.0,Sổ hồng,99.0,97.6,8.0,1,thạnh lộc 19,Phường Thạnh Lộc,Quận 12,1,1,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
114,4200,2,3,Đông,11.46,2.72,Sổ hồng,31.3,62.6,2.8,0,nhật tảo,Phường 4,Quận 10,1,0,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
115,11200,2,3,Đ.Nam,20.8,3.48,Sổ hồng,75.0,150.0,6.0,1,phan văn trị,Phường 10,Quận Gò Vấp,1,0,0,0,1,1,1,0,1,1,1,0,0,"(10000.0, 20000.0]"
116,13000,4,4,Đ.Nam,16.0,5.0,Sổ hồng,76.9,224.6,8.0,0,cộng hòa,Phường 13,Quận Tân Bình,3,1,0,0,1,1,0,1,1,0,1,0,0,"(10000.0, 20000.0]"
117,9700,3,3,Đ.Bắc,12.06,6.56,Sổ hồng,144.6,213.0,12.0,1,võ chí công,Phường Phú Hữu,Quận 9,2,0,0,0,1,1,0,0,1,0,0,0,0,"(4000.0, 10000.0]"
118,13500,3,3,T.Nam,27.8,4.0,Sổ hồng,87.0,144.4,2.6,0,nguyễn kiệm,Phường 4,Quận Phú Nhuận,2,0,0,0,1,1,1,0,1,1,0,0,0,"(10000.0, 20000.0]"
119,3800,2,2,Đông,8.75,2.73,Sổ hồng,23.0,79.8,5.0,0,bạch đằng,Phường 15,Quận Bình Thạnh,1,1,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
120,2400,1,1,T.Nam,7.11,3.0,Sổ hồng,21.2,42.4,2.0,0,số 475,Phường Phước Long B,Quận 9,1,0,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
121,4100,5,4,Bắc,5.02,12.0,Sổ hồng,60.0,180.0,5.0,0,thạnh xuân 25,Phường Thạnh Xuân,Quận 12,2,0,0,0,1,1,0,1,1,0,1,0,0,"(4000.0, 10000.0]"
122,9000,4,2,Đ.Nam,10.89,3.35,Sổ hồng,36.5,182.3,4.0,0,nguyễn thị minh khai,Phường Bến Thành,Quận 1,3,1,0,0,1,1,0,1,0,0,1,0,0,"(4000.0, 10000.0]"
123,6200,5,4,Đ.Bắc,15.43,4.0,Sổ hồng,62.0,211.9,4.0,0,phạm văn chiêu,Phường 9,Quận Gò Vấp,2,1,1,0,1,1,0,1,0,1,0,0,0,"(4000.0, 10000.0]"
124,11200,5,4,Bắc,18.0,4.0,Sổ hồng,72.0,188.4,6.0,1,số 4,Phường 16,Quận 8,2,1,0,0,1,1,0,0,0,0,0,0,0,"(10000.0, 20000.0]"
125,6800,3,3,Đ.Nam,14.3,4.12,Sổ hồng,58.8,90.0,5.0,0,số 20,Phường 4,Quận 8,2,1,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
126,5600,3,4,Đ.Bắc,10.2,4.05,Sổ hồng,36.1,34.8,3.5,0,trường chinh,Phường 15,Quận Tân Bình,2,1,1,0,1,1,0,1,1,0,1,0,1,"(4000.0, 10000.0]"
128,9300,4,6,T.Bắc,19.0,5.0,Sổ hồng,95.0,268.4,16.0,1,số 11,Xã Phước Kiển,Huyện Nhà Bè,3,0,0,0,1,1,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
129,8900,5,5,Nam,16.0,4.0,Sổ hồng,64.0,236.8,10.0,1,số 46,Phường 10,Quận 6,2,1,1,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
130,4200,4,4,Đ.Bắc,13.0,6.5,Sổ hồng,84.5,137.6,16.0,1,lê văn lương,Xã Nhơn Đức,Huyện Nhà Bè,1,0,0,0,0,0,0,0,1,1,1,0,0,"(4000.0, 10000.0]"
131,14700,6,4,T.Bắc,11.1,3.9,Sổ hồng,66.4,301.1,10.0,0,đội cung,Phường 9,Quận 11,3,1,1,0,1,1,0,1,0,0,1,0,0,"(10000.0, 20000.0]"
132,9000,4,4,T.Bắc,22.0,5.0,Khác,110.0,257.7,20.0,1,số 3,Phường Tam Phú,Quận Thủ Đức,2,0,0,0,1,1,0,1,1,0,0,0,0,"(4000.0, 10000.0]"
133,2400,1,2,Đ.Nam,18.0,4.12,Sổ hồng,75.6,29.6,2.0,0,an phú tây,Xã An Phú Tây,Huyện Bình Chánh,1,0,0,0,1,1,1,0,0,0,0,0,0,"(900.0, 4000.0]"
134,1600,3,4,Đ.Bắc,7.5,3.2,Sổ hồng,24.0,84.0,5.0,0,huỳnh tấn phát,Xã Phú Xuân,Huyện Nhà Bè,2,1,0,0,1,1,1,1,1,1,1,1,1,"(900.0, 4000.0]"
